AirlineID,Name,Country,Active
-1,Unknown,\N,Y
2,135 Airways,UnitedStates,N
3,1Time Airline,SouthAfrica,Y
4,2 Sqn No 1 Elementary Flying Training School,UnitedKingdom,N
5,213 Flight Unit,Russia,N
6,223 Flight Unit State Airline,Russia,N
7,224th Flight Unit,Russia,N
8,247 Jet Ltd,UnitedKingdom,N
9,3D Aviation,UnitedStates,N
10,40-Mile Air,UnitedStates,Y
11,4D Air,Thailand,N
12,611897 Alberta Limited,Canada,N
13,Ansett Australia,Australia,Y
14,Abacus International,Singapore,Y
15,Abelag Aviation,Belgium,N
16,Army Air Corps,UnitedKingdom,N
17,Aero Aviation Centre Ltd.,Canada,N
18,Aero Servicios Ejecutivos Internacionales,Mexico,N
19,Aero Biniza,Mexico,N
20,Aero Albatros,Spain,N
21,Aigle Azur,France,Y
22,Aloha Airlines,UnitedStates,Y
23,Alaska Island Air,UnitedStates,N
24,American Airlines,UnitedStates,Y
25,Aviation Management Corporation,UnitedStates,N
26,Atlantis Airlines (USA),UnitedStates,N
27,Aerovista Airlines,UnitedArabEmirates,N
28,Asiana Airlines,RepublicofKorea,Y
29,Askari Aviation,Pakistan,Y
30,Australia Asia Airlines,Australia,N
31,Astro Air International,UnitedStates,N
32,Afriqiyah Airways,Libya,Y
33,Afrinat International Airlines,Gambia,N
34,Afric'air Express,IvoryCoast,N
35,Allegiant Air,UnitedStates,Y
36,Angus Aviation,Canada,N
37,Artem-Avia,Ukraine,N
38,African Business and Transportations,DemocraticRepublicoftheCongo,N
39,Aban Air,Iran,n
40,Aerial Oy,Finland,N
41,Abakan-Avia,Russia,N
42,ABSA - Aerolinhas Brasileiras,Brazil,Y
43,Abaet,Brazil,N
44,Alberta Citylink,Canada,N
45,APSA Colombia,Colombia,N
46,Aerovias Bueno,Colombia,N
47,Aerocenter,AEROCENTER,N
48,Antrak Air,Ghana,N
49,Airborne Express,UnitedStates,N
50,ABX Air,UnitedStates,N
51,ATA Brasil,Brazil,N
52,Avcard Services,UnitedKingdom,N
53,Academy Airlines,UnitedStates,N
54,Aero Comondu,Mexico,N
55,Astral Aviation,Kenya,Y
56,Air Cess,Liberia,N
57,Air Aurora,UnitedStates,N
58,Air Cargo Transportation System,Kenya,N
59,Air Charter Service,UnitedKingdom,N
60,Aero Asia International,Pakistan,N
61,Air Charters,Canada,N
62,Air Togo,Togo,N
63,Air Somalia,SomaliRepublic,N
64,Atlas Cargo Lines,Morocco,N
65,Airservices Australia,Australia,N
66,Advance Leasing Company,UnitedStates,N
67,Aztec Worldwide Airlines,UnitedStates,N
68,Air Tindi,CanadianTerritories,Y
69,Antonov Airlines,Ukraine,N
70,Air Atlantic Dominicana,DominicanRepublic,N
71,Advanced Air Co.,Japan,N
72,Ada Air,Albania,Y
73,Aerea Flying Training Organization,Spain,N
74,Audeli Air,Spain,N
75,Abicar,IvoryCoast,N
76,ADC Airlines,Nigeria,N
77,Aero Dynamics,UnitedKingdom,N
78,Aerolineas Dominicanas,DominicanRepublic,N
79,Aerodienst GmbH,Germany,N
80,Aerodiplomatic,Mexico,N
81,Aerodyne,UnitedStates,N
82,Avion Taxi,Canada,N
83,Adria Airways,Slovenia,Y
84,Aviones de Sonora,Mexico,N
85,Air Dorval,Canada,N
86,Airdeal Oy,Finland,N
87,Advance Air Charters,Canada,N
88,Air Andaman,Thailand,N
89,Anderson Aviation,UnitedStates,N
90,Air Europa,Spain,Y
91,Air Southwest Ltd.,Canada,N
92,Air Special,CzechRepublic,N
93,Aero Benin,Benin,Y
94,Aerocesar,AEROCESAR,N
95,Aerotrans Airlines,Russia,N
96,Aegean Airlines,Greece,Y
97,Aerofumigaciones Sam,Chile,N
98,Aeroexpreso Interamericano,Colombia,N
99,Air Express,Tanzania,N
100,Aerocon,Bolivia,N
101,Aero Madrid,Spain,N
102,Aeroenlaces Nacionales,Mexico,N
103,Aeroservicios Ejecutivos Del Occidente,Mexico,N
104,Aerotec,Spain,N
105,Air Atlantique,UnitedKingdom,N
106,Air Europe,Italy,Y
107,Air Alma,Canada,N
108,Air Express,Sweden,N
109,Alaska Central Express,UnitedStates,Y
110,ACES Colombia,Colombia,Y
111,Aeronautical Radio of Thailand,Thailand,N
112,Astraeus,UnitedKingdom,Y
113,Aeroventas,Mexico,N
114,Aerosvit Airlines,Ukraine,Y
115,Airway Express,UnitedStates,N
116,Air Italy,Italy,Y
117,Aerial Transit Company,UnitedStates,N
118,Alfa Air,CzechRepublic,N
119,American Falcon,Argentina,N
120,Alliance Airlines,Australia,Y
121,Air Universal,SierraLeone,N
122,Auvia Air,Indonesia,N
123,African West Air,Senegal,N
124,Airfast Indonesia,Indonesia,N
125,Ariana Afghan Airlines,Afghanistan,Y
126,Air Fecteau,Canada,N
127,Africaone,Uganda,N
128,Alliance,Uganda,N
129,Africa Air Links,SierraLeone,N
130,Aeroflot Russian Airlines,Russia,Y
131,Aero Empresa Mexicana,Mexico,N
132,Air Bosna,BosniaandHerzegovina,Y
133,Air Bravo,Uganda,N
134,Air Brasd'or,Canada,N
135,Air 500,Canada,N
136,Alba Servizi Aerotrasporti,Italy,N
137,Air France,France,Y
138,Air Partner,UnitedKingdom,N
139,Air Caledonie International,France,Y
140,Air Caledonia,Canada,N
141,Air Guam,UnitedStates,N
142,Air Gabon,Gabon,N
143,Air Data,UnitedKingdom,N
144,Air Afrique Vacancies,IvoryCoast,N
145,Air Cargo America,UnitedStates,N
146,Air Salone,SierraLeone,Y
147,Air-Angol,Angola,N
148,Air Nigeria,Nigeria,N
149,Air Cargo Carriers,UnitedStates,Y
150,Air Samarkand,Uzbekistan,N
151,Air Senegal International,Senegal,N
152,Air Sandy,Canada,N
153,Air Namibia,Namibia,Y
154,Air Intersalonika,Greece,N
155,Air Anatolia,Turkey,N
156,Air Saigon,Vietnam,N
157,Afrique Regional Airways,IvoryCoast,N
158,Airfreight Express,UnitedKingdom,N
159,Africa Chartered Services,Nigeria,N
160,Africa Freight Services,Zambia,N
