Country,Region,Population,Pop_density,GDP_per_capita,Literacy_rate
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,48.0,700.0,36.0
Albania ,EASTERN EUROPE                     ,3581655,124.6,4500.0,86.5
Algeria ,NORTHERN AFRICA                    ,32930091,13.8,6000.0,70.0
American Samoa ,OCEANIA                            ,57794,290.4,8000.0,97.0
Andorra ,WESTERN EUROPE                     ,71201,152.1,19000.0,100.0
Angola ,SUB-SAHARAN AFRICA                 ,12127071,9.7,1900.0,42.0
Anguilla ,LATIN AMER. & CARIB    ,13477,132.1,8600.0,95.0
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,156.0,11000.0,89.0
Argentina ,LATIN AMER. & CARIB    ,39921833,14.4,11200.0,97.1
Armenia ,C.W. OF IND. STATES ,2976372,99.9,3500.0,98.6
Aruba ,LATIN AMER. & CARIB    ,71891,372.5,28000.0,97.0
Australia ,OCEANIA                            ,20264082,2.6,29000.0,100.0
Austria ,WESTERN EUROPE                     ,8192880,97.7,30000.0,98.0
Azerbaijan ,C.W. OF IND. STATES ,7961619,91.9,3400.0,97.0
Bahamas The ,LATIN AMER. & CARIB    ,303770,21.8,16700.0,95.6
Bahrain ,NEAR EAST                          ,698585,1050.5,16900.0,89.1
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,1023.4,1900.0,43.1
Barbados ,LATIN AMER. & CARIB    ,279912,649.5,15700.0,97.4
Belarus ,C.W. OF IND. STATES ,10293011,49.6,6100.0,99.6
Belgium ,WESTERN EUROPE                     ,10379067,340.0,29100.0,98.0
Belize ,LATIN AMER. & CARIB    ,287730,12.5,4900.0,94.1
Benin ,SUB-SAHARAN AFRICA                 ,7862944,69.8,1100.0,40.9
Bermuda ,NORTHERN AMERICA                   ,65773,1241.0,36000.0,98.0
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,48.5,1300.0,42.2
Bolivia ,LATIN AMER. & CARIB    ,8989046,8.2,2400.0,87.2
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,2.7,9000.0,79.8
Brazil ,LATIN AMER. & CARIB    ,188078227,22.1,7600.0,86.4
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,151.0,16000.0,97.8
Brunei ,ASIA (EX. NEAR EAST)         ,379444,65.8,18600.0,93.9
Bulgaria ,EASTERN EUROPE                     ,7385367,66.6,7600.0,98.6
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,50.7,1100.0,26.6
Burma ,ASIA (EX. NEAR EAST)         ,47382633,69.8,1800.0,85.3
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,290.7,600.0,51.6
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,76.7,1900.0,69.4
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,36.5,1800.0,79.0
Canada ,NORTHERN AMERICA                   ,33098932,3.3,29800.0,97.0
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,104.4,1400.0,76.6
Cayman Islands ,LATIN AMER. & CARIB    ,45436,173.4,35000.0,98.0
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,6.9,1100.0,51.0
Chad ,SUB-SAHARAN AFRICA                 ,9944201,7.7,1200.0,47.5
Chile ,LATIN AMER. & CARIB    ,16134219,21.3,9900.0,96.2
China ,ASIA (EX. NEAR EAST)         ,1313973713,136.9,5000.0,90.9
Colombia ,LATIN AMER. & CARIB    ,43593035,38.3,6300.0,92.5
Comoros ,SUB-SAHARAN AFRICA                 ,690948,318.4,700.0,56.5
Congo Dem. Rep. ,SUB-SAHARAN AFRICA                 ,62660551,26.7,700.0,65.5
Congo Repub. of the ,SUB-SAHARAN AFRICA                 ,3702314,10.8,700.0,83.8
Cook Islands ,OCEANIA                            ,21388,89.1,5000.0,95.0
Costa Rica ,LATIN AMER. & CARIB    ,4075261,79.8,9100.0,96.0
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,54.8,1400.0,50.9
Croatia ,EASTERN EUROPE                     ,4494749,79.5,10600.0,98.5
Cuba ,LATIN AMER. & CARIB    ,11382820,102.7,2900.0,97.0
Cyprus ,NEAR EAST                          ,784301,84.8,19200.0,97.6
Czech Republic ,EASTERN EUROPE                     ,10235455,129.8,15700.0,99.9
Denmark ,WESTERN EUROPE                     ,5450661,126.5,31100.0,100.0
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,21.2,1300.0,67.9
Dominica ,LATIN AMER. & CARIB    ,68910,91.4,5400.0,94.0
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,188.5,6000.0,84.7
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,70.8,500.0,58.6
Ecuador ,LATIN AMER. & CARIB    ,13547510,47.8,3300.0,92.5
Egypt ,NORTHERN AFRICA                    ,78887007,78.8,4000.0,57.7
El Salvador ,LATIN AMER. & CARIB    ,6822378,324.3,4800.0,80.2
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,19.3,2700.0,85.7
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,39.5,700.0,58.6
Estonia ,BALTICS                            ,1324333,29.3,12300.0,99.8
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,66.3,700.0,42.7
Fiji ,OCEANIA                            ,905949,49.6,5800.0,93.7
Finland ,WESTERN EUROPE                     ,5231372,15.5,27400.0,100.0
France ,WESTERN EUROPE                     ,60876136,111.3,27600.0,99.0
French Guiana ,LATIN AMER. & CARIB    ,199509,2.2,8300.0,83.0
French Polynesia ,OCEANIA                            ,274578,65.9,17500.0,98.0
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,5.3,5500.0,63.2
Gambia The ,SUB-SAHARAN AFRICA                 ,1641564,145.3,1700.0,40.1
Georgia ,C.W. OF IND. STATES ,4661473,66.9,2500.0,99.0
