Country/Region,Date,Confirmed,Deaths,Recovered,Active
Afghanistan,2020-01-22,0,0,0,0
Albania,2020-01-22,0,0,0,0
Algeria,2020-01-22,0,0,0,0
Andorra,2020-01-22,0,0,0,0
Angola,2020-01-22,0,0,0,0
Antigua and Barbuda,2020-01-22,0,0,0,0
Argentina,2020-01-22,0,0,0,0
Armenia,2020-01-22,0,0,0,0
Australia,2020-01-22,0,0,0,0
Australia,2020-01-22,0,0,0,0
Australia,2020-01-22,0,0,0,0
Australia,2020-01-22,0,0,0,0
Australia,2020-01-22,0,0,0,0
Australia,2020-01-22,0,0,0,0
Australia,2020-01-22,0,0,0,0
Australia,2020-01-22,0,0,0,0
Austria,2020-01-22,0,0,0,0
Azerbaijan,2020-01-22,0,0,0,0
Bahamas,2020-01-22,0,0,0,0
Bahrain,2020-01-22,0,0,0,0
Bangladesh,2020-01-22,0,0,0,0
Barbados,2020-01-22,0,0,0,0
Belarus,2020-01-22,0,0,0,0
Belgium,2020-01-22,0,0,0,0
Benin,2020-01-22,0,0,0,0
Bhutan,2020-01-22,0,0,0,0
Bolivia,2020-01-22,0,0,0,0
Bosnia and Herzegovina,2020-01-22,0,0,0,0
Brazil,2020-01-22,0,0,0,0
Brunei,2020-01-22,0,0,0,0
Bulgaria,2020-01-22,0,0,0,0
Burkina Faso,2020-01-22,0,0,0,0
Cabo Verde,2020-01-22,0,0,0,0
Cambodia,2020-01-22,0,0,0,0
Cameroon,2020-01-22,0,0,0,0
Canada,2020-01-22,0,0,0,0
Canada,2020-01-22,0,0,0,0
Canada,2020-01-22,0,0,0,0
Canada,2020-01-22,0,0,0,0
Canada,2020-01-22,0,0,0,0
Canada,2020-01-22,0,0,0,0
Canada,2020-01-22,0,0,0,0
Canada,2020-01-22,0,0,0,0
Canada,2020-01-22,0,0,0,0
Canada,2020-01-22,0,0,0,0
Central African Republic,2020-01-22,0,0,0,0
Chad,2020-01-22,0,0,0,0
Chile,2020-01-22,0,0,0,0
China,2020-01-22,1,0,0,1
China,2020-01-22,14,0,0,14
China,2020-01-22,6,0,0,6
China,2020-01-22,1,0,0,1
China,2020-01-22,0,0,0,0
China,2020-01-22,26,0,0,26
China,2020-01-22,2,0,0,2
China,2020-01-22,1,0,0,1
China,2020-01-22,4,0,0,4
China,2020-01-22,1,0,0,1
China,2020-01-22,0,0,0,0
China,2020-01-22,5,0,0,5
China,2020-01-22,0,0,0,0
China,2020-01-22,444,17,28,399
China,2020-01-22,4,0,0,4
China,2020-01-22,0,0,0,0
China,2020-01-22,1,0,0,1
China,2020-01-22,2,0,0,2
China,2020-01-22,0,0,0,0
